sensor_id,timestamp,temperature,temperature_f,humidity
1,2025-04-07 00:00:00,22.0,71.6,80.99
1,2025-04-07 00:00:01,22.0,71.6,79.72
1,2025-04-07 00:00:02,22.0,71.6,81.29
1,2025-04-07 00:00:03,22.0,71.6,83.04
1,2025-04-07 00:00:04,22.0,71.6,79.53
1,2025-04-07 00:00:05,22.0,71.6,79.53
1,2025-04-07 00:00:06,22.0,71.61,83.15
1,2025-04-07 00:00:07,22.0,71.61,81.53
1,2025-04-07 00:00:08,22.0,71.61,79.05
1,2025-04-07 00:00:09,22.0,71.61,81.08
1,2025-04-07 00:00:10,22.01,71.61,79.06
1,2025-04-07 00:00:11,22.01,71.61,79.06
1,2025-04-07 00:00:12,22.01,71.61,80.47
1,2025-04-07 00:00:13,22.01,71.61,76.16
1,2025-04-07 00:00:14,22.01,71.61,76.54
1,2025-04-07 00:00:15,22.01,71.61,78.86
1,2025-04-07 00:00:16,22.01,71.61,77.96
1,2025-04-07 00:00:17,22.01,71.62,80.61
1,2025-04-07 00:00:18,22.01,71.62,78.17
1,2025-04-07 00:00:19,22.01,71.62,77.16
1,2025-04-07 00:00:20,22.01,71.62,82.91
1,2025-04-07 00:00:21,22.01,71.62,79.53
1,2025-04-07 00:00:22,22.01,71.62,80.11
1,2025-04-07 00:00:23,22.01,71.62,77.13
1,2025-04-07 00:00:24,22.01,71.62,78.89
1,2025-04-07 00:00:25,22.01,71.62,80.2
1,2025-04-07 00:00:26,22.01,71.62,77.67
1,2025-04-07 00:00:27,22.01,71.62,80.72
1,2025-04-07 00:00:28,22.01,71.63,78.77
1,2025-04-07 00:00:29,22.01,71.63,79.39
1,2025-04-07 00:00:30,22.02,71.63,78.77
1,2025-04-07 00:00:31,22.02,71.63,83.67
1,2025-04-07 00:00:32,22.02,71.63,79.94
1,2025-04-07 00:00:33,22.02,71.63,77.85
1,2025-04-07 00:00:34,22.02,71.63,81.61
1,2025-04-07 00:00:35,22.02,71.63,77.52
1,2025-04-07 00:00:36,22.02,71.63,80.38
1,2025-04-07 00:00:37,22.02,71.63,76.04
1,2025-04-07 00:00:38,22.02,71.63,77.3
1,2025-04-07 00:00:39,22.02,71.64,80.35
1,2025-04-07 00:00:40,22.02,71.64,81.44
1,2025-04-07 00:00:41,22.02,71.64,80.3
1,2025-04-07 00:00:42,22.02,71.64,79.73
1,2025-04-07 00:00:43,22.02,71.64,79.35
1,2025-04-07 00:00:44,22.02,71.64,77.0
1,2025-04-07 00:00:45,22.02,71.64,78.51
1,2025-04-07 00:00:46,22.02,71.64,79.03
1,2025-04-07 00:00:47,22.02,71.64,82.07
1,2025-04-07 00:00:48,22.02,71.64,80.64
1,2025-04-07 00:00:49,22.02,71.64,76.42
1,2025-04-07 00:00:50,22.03,71.65,80.6
1,2025-04-07 00:00:51,22.03,71.65,79.18
1,2025-04-07 00:00:52,22.03,71.65,78.59
1,2025-04-07 00:00:53,22.03,71.65,81.17
1,2025-04-07 00:00:54,22.03,71.65,82.01
1,2025-04-07 00:00:55,22.03,71.65,81.81
1,2025-04-07 00:00:56,22.03,71.65,78.26
1,2025-04-07 00:00:57,22.03,71.65,79.32
1,2025-04-07 00:00:58,22.03,71.65,80.6
1,2025-04-07 00:00:59,22.03,71.65,81.89
1,2025-04-07 00:01:00,22.03,71.65,78.98
1,2025-04-07 00:01:01,22.03,71.66,79.57
1,2025-04-07 00:01:02,22.03,71.66,77.72
1,2025-04-07 00:01:03,22.03,71.66,77.54
1,2025-04-07 00:01:04,22.03,71.66,81.56
1,2025-04-07 00:01:05,22.03,71.66,82.65
1,2025-04-07 00:01:06,22.03,71.66,79.79
1,2025-04-07 00:01:07,22.03,71.66,81.94
1,2025-04-07 00:01:08,22.03,71.66,80.65
1,2025-04-07 00:01:09,22.04,71.66,78.64
1,2025-04-07 00:01:10,22.04,71.66,80.65
1,2025-04-07 00:01:11,22.04,71.67,83.0
1,2025-04-07 00:01:12,22.04,71.67,79.86
1,2025-04-07 00:01:13,22.04,71.67,83.05
1,2025-04-07 00:01:14,22.04,71.67,74.69
1,2025-04-07 00:01:15,22.04,71.67,81.57
1,2025-04-07 00:01:16,22.04,71.67,80.1
1,2025-04-07 00:01:17,22.04,71.67,79.32
1,2025-04-07 00:01:18,22.04,71.67,80.1
1,2025-04-07 00:01:19,22.04,71.67,75.94
1,2025-04-07 00:01:20,22.04,71.67,79.48
1,2025-04-07 00:01:21,22.04,71.67,80.63
1,2025-04-07 00:01:22,22.04,71.68,82.87
1,2025-04-07 00:01:23,22.04,71.68,78.88
1,2025-04-07 00:01:24,22.04,71.68,78.3
1,2025-04-07 00:01:25,22.04,71.68,78.91
1,2025-04-07 00:01:26,22.04,71.68,81.74
1,2025-04-07 00:01:27,22.04,71.68,80.57
1,2025-04-07 00:01:28,22.04,71.68,78.85
1,2025-04-07 00:01:29,22.05,71.68,80.94
1,2025-04-07 00:01:30,22.05,71.68,80.1
1,2025-04-07 00:01:31,22.05,71.68,81.84
1,2025-04-07 00:01:32,22.05,71.68,78.5
1,2025-04-07 00:01:33,22.05,71.69,79.25
1,2025-04-07 00:01:34,22.05,71.69,79.12
1,2025-04-07 00:01:35,22.05,71.69,76.98
1,2025-04-07 00:01:36,22.05,71.69,80.49
1,2025-04-07 00:01:37,22.05,71.69,80.42
1,2025-04-07 00:01:38,22.05,71.69,79.91
1,2025-04-07 00:01:39,22.05,71.69,79.43
1,2025-04-07 00:01:40,22.05,71.69,77.07
1,2025-04-07 00:01:41,22.05,71.69,79.06
1,2025-04-07 00:01:42,22.05,71.69,79.21
1,2025-04-07 00:01:43,22.05,71.69,78.29
1,2025-04-07 00:01:44,22.05,71.7,79.57
1,2025-04-07 00:01:45,22.05,71.7,80.7
1,2025-04-07 00:01:46,22.05,71.7,83.66
1,2025-04-07 00:01:47,22.05,71.7,80.24
1,2025-04-07 00:01:48,22.05,71.7,80.41
1,2025-04-07 00:01:49,22.06,71.7,79.74
1,2025-04-07 00:01:50,22.06,71.7,76.05
1,2025-04-07 00:01:51,22.06,71.7,79.83
1,2025-04-07 00:01:52,22.06,71.7,80.01
