sensor_id,timestamp,pm2_5,pm10,so2,no2,health_environment
3,2025-03-30T14:18:05.132996,206.35,229.01,137.85,255.07,unhealthy
3,2025-03-30T14:18:06.134525,194.68,440.43,128.55,41.25,unhealthy
3,2025-03-30T14:18:07.135589,242.37,13.7,85.8,140.2,moderate
3,2025-03-30T14:18:08.136096,179.41,359.75,111.08,412.63,unhealthy
3,2025-03-30T14:18:09.136567,50.81,130.9,291.95,58.31,moderate
3,2025-03-30T14:18:10.137169,23.53,145.04,7.47,155.37,good
3,2025-03-30T14:18:11.137793,73.34,119.26,224.34,357.98,unhealthy
3,2025-03-30T14:18:12.138890,217.05,306.52,29.15,245.75,unhealthy
3,2025-03-30T14:18:13.139184,205.86,272.74,57.14,214.49,unhealthy
3,2025-03-30T14:18:14.140109,117.29,477.7,64.34,234.0,unhealthy
3,2025-03-30T14:18:15.141107,76.7,10.8,77.42,247.28,good
3,2025-03-30T14:18:16.141727,146.2,259.99,291.94,254.1,unhealthy
3,2025-03-30T14:18:17.142641,206.36,128.69,70.31,359.66,unhealthy
3,2025-03-30T14:18:18.143516,156.25,214.43,88.4,226.77,unhealthy
3,2025-03-30T14:18:19.144099,196.53,330.63,9.46,120.05,unhealthy
3,2025-03-30T14:18:20.144785,16.52,273.77,183.81,381.62,unhealthy
3,2025-03-30T14:18:21.145514,116.51,332.85,121.94,248.7,unhealthy
3,2025-03-30T14:18:22.146332,161.45,57.08,239.01,252.41,unhealthy
3,2025-03-30T14:18:23.147013,27.49,199.78,232.68,252.21,unhealthy
3,2025-03-30T14:18:24.147513,36.13,156.94,100.35,374.9,unhealthy
3,2025-03-30T14:18:25.148015,111.45,310.61,8.49,245.09,unhealthy
3,2025-03-30T14:18:26.148953,172.09,303.69,6.72,373.8,unhealthy
3,2025-03-30T14:18:27.149432,108.48,192.95,96.39,0.47,unhealthy
3,2025-03-30T14:18:28.150479,224.55,145.46,128.23,348.37,unhealthy
3,2025-03-30T14:18:29.151016,30.2,87.27,243.82,252.57,moderate
3,2025-03-30T14:18:30.151847,76.3,278.91,178.37,362.09,unhealthy
3,2025-03-30T14:18:31.152597,7.68,485.94,67.48,407.73,unhealthy
3,2025-03-30T14:18:32.153205,243.56,135.85,28.67,417.29,unhealthy
3,2025-03-30T14:18:33.153924,183.09,222.37,75.62,372.37,unhealthy
3,2025-03-30T14:18:34.154665,47.11,440.26,190.15,250.86,unhealthy
3,2025-03-30T14:18:35.155181,45.28,325.74,264.39,385.28,unhealthy
