sensor_id,timestamp,temperature,temperature_f,humidity,motion_detected
1,2025-03-31T15:31:24.473980,29.59,85.26,46.27,1
1,2025-03-31T15:31:24.474146,19.37,66.87,49.63,1
1,2025-03-31T15:31:24.474196,25.16,77.29,62.82,1
1,2025-03-31T15:31:24.474235,21.05,69.89,,1
1,2025-03-31T15:31:24.474235,21.05,69.89,,1
1,2025-03-31T15:31:24.474290,21.66,70.99,53.77,0
1,2025-03-31T15:31:24.474325,22.52,72.54,40.66,0
1,2025-03-31T15:31:24.474358,18.12,64.62,42.52,0
1,2025-03-31T15:31:24.474358,18.12,64.62,42.52,0
1,2025-03-31T15:31:24.474409,26.8,80.24,64.06,1
1,2025-03-31T15:31:24.474441,21.22,70.2,67.7,0
1,2025-03-31T15:31:24.474474,20.43,68.77,42.66,0
1,2025-03-31T15:31:24.474474,20.43,68.77,42.66,0
1,2025-03-31T15:31:24.474523,27.44,81.39,68.89,0
1,2025-03-31T15:31:24.474554,23.93,75.07,64.72,1
1,2025-03-31T15:31:24.474587,18.31,64.96,60.13,0
1,2025-03-31T15:31:24.474587,18.31,64.96,60.13,0
1,2025-03-31T15:31:24.474636,20.52,68.94,51.1,1
1,2025-03-31T15:31:24.474668,18.09,64.56,40.79,0
1,2025-03-31T15:31:24.474699,19.16,66.49,58.33,1
1,2025-03-31T15:31:24.474699,19.16,66.49,58.33,1
1,2025-03-31T15:31:24.474747,22.56,72.61,,1
1,2025-03-31T15:31:24.474777,19.79,67.62,42.1,0
1,2025-03-31T15:31:24.474808,23.07,73.53,,0
1,2025-03-31T15:31:24.474808,23.07,73.53,,0
1,2025-03-31T15:31:24.474856,24.39,75.9,41.14,0
1,2025-03-31T15:31:24.474887,20.14,68.25,67.06,0
1,2025-03-31T15:31:24.474921,28.36,83.05,,0
1,2025-03-31T15:31:24.474921,28.36,83.05,,0
1,2025-03-31T15:31:24.474968,25.8,78.44,45.67,1
1,2025-03-31T15:31:24.474999,22.98,73.36,56.61,0
1,2025-03-31T15:31:24.475032,27.17,80.91,49.63,0
1,2025-03-31T15:31:24.475032,27.17,80.91,49.63,0
1,2025-03-31T15:31:24.475079,18.34,65.01,52.79,0
1,2025-03-31T15:31:24.475109,24.89,76.8,47.31,1
1,2025-03-31T15:31:24.475139,29.51,85.12,50.06,1
1,2025-03-31T15:31:24.475139,29.51,85.12,50.06,1
1,2025-03-31T15:31:24.475187,18.69,65.64,,1
1,2025-03-31T15:31:24.475216,19.57,67.23,51.09,1
1,2025-03-31T15:31:24.475247,25.76,78.37,46.72,0
1,2025-03-31T15:31:24.475247,25.76,78.37,46.72,0
1,2025-03-31T15:31:24.475295,23.31,73.96,,0
1,2025-03-31T15:31:24.475324,25.49,77.88,62.74,1
1,2025-03-31T15:31:24.475354,27.96,82.33,52.37,0
1,2025-03-31T15:31:24.475354,27.96,82.33,52.37,0
1,2025-03-31T15:31:24.475400,22.08,71.74,,0
1,2025-03-31T15:31:24.475430,29.79,85.62,65.98,1
1,2025-03-31T15:31:24.475460,23.6,74.48,51.76,0
1,2025-03-31T15:31:24.475460,23.6,74.48,51.76,0
1,2025-03-31T15:31:24.475509,27.14,80.85,,1
1,2025-03-31T15:31:24.475538,25.19,77.34,65.28,0
1,2025-03-31T15:31:24.475569,25.69,78.24,53.44,1
1,2025-03-31T15:31:24.475569,25.69,78.24,53.44,1
1,2025-03-31T15:31:24.475617,18.86,65.95,65.63,1
1,2025-03-31T15:31:24.475648,21.55,70.79,69.21,0
1,2025-03-31T15:31:24.475679,26.76,80.17,52.6,1
1,2025-03-31T15:31:24.475679,26.76,80.17,52.6,1
1,2025-03-31T15:31:24.475726,29.67,85.41,44.86,1
1,2025-03-31T15:31:24.475756,23.34,74.01,67.31,1
1,2025-03-31T15:31:24.475786,29.8,85.64,61.32,0
1,2025-03-31T15:31:24.475786,29.8,85.64,61.32,0
1,2025-03-31T15:31:24.475833,26.34,79.41,,1
1,2025-03-31T15:31:24.475864,24.45,76.01,45.05,1
1,2025-03-31T15:31:24.475895,29.83,85.69,58.97,1
1,2025-03-31T15:31:24.475895,29.83,85.69,58.97,1
1,2025-03-31T15:31:24.475941,29.34,84.81,53.97,0
